,Cst_Cnt,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec,Sta_ID,St_Line,Distance
29394,29395,20-0001NM-PR-021-1808-08000900,1,01/21/2000,2000,1,33.158333,-123.226666,080.0 090.0,80.0,-157.99
29395,29396,20-0001NM-MX-021-2319-08001000,1,01/21/2000,2000,1,32.82,-123.90666599999999,080.0 100.0,80.0,-197.79
29396,29397,20-0001NM-MX-022-0507-07671000,1,01/22/2000,2000,1,33.391666,-124.32666599999999,076.7 100.0,76.7,-209.72
29397,29398,20-0001NM-MX-022-1042-07670900,1,01/22/2000,2000,1,33.725,-123.63333300000001,076.7 090.0,76.7,-169.69
29398,29399,20-0001NM-PR-022-1803-07670800,1,01/22/2000,2000,1,34.058333000000005,-122.94333300000001,076.7 080.0,76.7,-129.93
29399,29400,20-0001NM-MX-022-2313-07670700,1,01/22/2000,2000,1,34.388333,-122.25,076.7 070.0,76.7,-90.24
29400,29401,20-0001NM-MX-023-0522-07670600,1,01/23/2000,2000,1,34.725,-121.54833300000001,076.7 060.0,76.7,-50.12
29401,29402,20-0001NM-MX-023-0935-07670550,1,01/23/2000,2000,1,34.888333,-121.2,076.7 055.0,76.7,-30.36
29402,29403,20-0001NM-MX-023-1329-07670510,1,01/23/2000,2000,1,35.023333,-120.92,076.7 051.0,76.7,-14.39
29403,29404,20-0001NM-MX-023-1540-07670490,1,01/23/2000,2000,1,35.09,-120.77666599999999,076.7 049.0,76.7,-6.31
29404,29405,20-0004JD-MX-098-2207-09330267,2,04/07/2000,2000,4,32.958333,-117.30333300000001,093.3 026.7,93.3,-1.88
29405,29406,20-0004JD-MX-099-0047-09330280,2,04/08/2000,2000,4,32.908333,-117.39833300000001,093.3 028.0,93.3,-7.16
29406,29407,20-0004JD-MX-099-0341-09330300,2,04/08/2000,2000,4,32.846666,-117.53833300000001,093.3 030.0,93.3,-15.11
29407,29408,20-0004JD-MX-099-0754-09330350,2,04/08/2000,2000,4,32.683333000000005,-117.875,093.3 035.0,93.3,-34.69
29408,29409,20-0004JD-MX-099-1221-09330400,2,04/08/2000,2000,4,32.516666,-118.203333,093.3 040.0,93.3,-54.05
29409,29410,20-0004JD-PR-099-1831-09330450,2,04/08/2000,2000,4,32.351665999999994,-118.54666599999999,093.3 045.0,93.3,-74.05
29410,29411,20-0004JD-MX-099-2152-09330500,2,04/08/2000,2000,4,32.185,-118.885,093.3 050.0,93.3,-93.92
29411,29412,20-0004JD-MX-100-0208-09330550,2,04/09/2000,2000,4,32.013333,-119.235,093.3 055.0,93.3,-114.48
29412,29413,20-0004JD-MX-100-0612-09330600,2,04/09/2000,2000,4,31.85,-119.56833300000001,093.3 060.0,93.3,-134.08
29413,29414,20-0004JD-MX-100-1229-09330700,2,04/09/2000,2000,4,31.518333000000002,-120.24666599999999,093.3 070.0,93.3,-174.03
29414,29415,20-0004JD-PR-100-1912-09330800,2,04/09/2000,2000,4,31.186666,-120.92,093.3 080.0,93.3,-213.86
29415,29416,20-0004JD-MX-101-0210-09330900,2,04/10/2000,2000,4,30.851665999999998,-121.588333,093.3 090.0,93.3,-253.69
29416,29417,20-0004JD-MX-101-0825-09331000,2,04/10/2000,2000,4,30.515,-122.255,093.3 100.0,93.3,-293.6
29417,29418,20-0004JD-PR-101-1803-09331100,2,04/10/2000,2000,4,30.163333,-122.93666599999999,093.3 110.0,93.3,-334.75
29418,29419,20-0004JD-MX-101-2354-09331200,2,04/10/2000,2000,4,29.848333,-123.586666,093.3 120.0,93.3,-373.45
29419,29420,20-0004JD-MX-102-0508-09001200,2,04/11/2000,2000,4,30.421666,-123.993333,090.0 120.0,90.0,-367.87
29420,29421,20-0004JD-MX-102-1114-09001100,2,04/11/2000,2000,4,30.75,-123.331666,090.0 110.0,90.0,-328.41
29421,29422,20-0004JD-PR-102-1829-09001000,2,04/11/2000,2000,4,31.086665999999997,-122.665,090.0 100.0,90.0,-288.57
29422,29423,20-0004JD-MX-103-0048-09000900,2,04/12/2000,2000,4,31.413333,-121.99,090.0 090.0,90.0,-248.78
29423,29424,20-0004JD-MX-103-0659-09000800,2,04/12/2000,2000,4,31.756666,-121.315,090.0 080.0,90.0,-208.59
29424,29425,20-0004JD-PR-103-1809-09000700,2,04/12/2000,2000,4,32.083333,-120.646666,090.0 070.0,90.0,-169.31
29425,29426,20-0004JD-MX-103-2312-09000600,2,04/12/2000,2000,4,32.42,-119.963333,090.0 060.0,90.0,-129.18
29426,29427,20-0004JD-MX-104-0407-09000530,2,04/13/2000,2000,4,32.65,-119.48666599999999,090.0 053.0,90.0,-101.39
29427,29428,20-0004JD-MX-104-0930-09000450,2,04/13/2000,2000,4,32.923333,-118.94,090.0 045.0,90.0,-69.31
29428,29429,20-0004JD-MX-104-1501-09000370,2,04/13/2000,2000,4,33.188333,-118.38666599999999,090.0 037.0,90.0,-37.26
29429,29430,20-0004JD-PR-104-1756-09000350,2,04/13/2000,2000,4,33.251666,-118.248333,090.0 035.0,90.0,-29.35
29430,29431,20-0004JD-MX-104-2228-09000300,2,04/13/2000,2000,4,33.418333000000004,-117.905,090.0 030.0,90.0,-9.44
29431,29432,20-0004JD-MX-105-0330-09000280,2,04/14/2000,2000,4,33.483333,-117.77,090.0 028.0,90.0,-1.64
29432,29433,20-0004JD-MX-105-1051-08670330,2,04/14/2000,2000,4,33.89,-118.493333,086.7 033.0,86.7,-3.71
29433,29434,20-0004JD-MX-105-1249-08670350,2,04/14/2000,2000,4,33.828333,-118.635,086.7 035.0,86.7,-11.49
29434,29435,20-0004JD-PR-105-1812-08670400,2,04/14/2000,2000,4,33.66,-118.978333,086.7 040.0,86.7,-31.27
29435,29436,20-0004JD-MX-105-2221-08670450,2,04/14/2000,2000,4,33.496666,-119.32,086.7 045.0,86.7,-50.95
29436,29437,20-0004JD-MX-106-0223-08670500,2,04/15/2000,2000,4,33.323333,-119.66666599999999,086.7 050.0,86.7,-71.17
29437,29438,20-0004JD-MX-106-0545-08670550,2,04/15/2000,2000,4,33.158333,-120.00833300000001,086.7 055.0,86.7,-90.97
29438,29439,20-0004JD-MX-106-0937-08670600,2,04/15/2000,2000,4,32.995,-120.345,086.7 060.0,86.7,-110.53
29439,29440,20-0004JD-PR-106-1807-08670700,2,04/15/2000,2000,4,32.648333,-121.035,086.7 070.0,86.7,-151.07
29440,29441,20-0004JD-MX-106-2323-08670800,2,04/15/2000,2000,4,32.32,-121.715,086.7 080.0,86.7,-190.73
29441,29442,20-0004JD-MX-107-0516-08670900,2,04/16/2000,2000,4,31.988333,-122.39833300000001,086.7 090.0,86.7,-230.75
29442,29443,20-0004JD-MX-107-1306-08671000,2,04/16/2000,2000,4,31.656665999999998,-123.071666,086.7 100.0,86.7,-270.44
29443,29444,20-0004JD-PR-107-1930-08671100,2,04/16/2000,2000,4,31.325,-123.741666,086.7 110.0,86.7,-310.09
29444,29445,20-0004JD-MX-108-0238-08331100,2,04/17/2000,2000,4,31.916665999999996,-124.165,083.3 110.0,83.3,-282.12
29445,29446,20-0004JD-MX-108-0820-08331000,2,04/17/2000,2000,4,32.241665999999995,-123.495,083.3 100.0,83.3,-242.87
29446,29447,20-0004JD-PR-108-1813-08330900,2,04/17/2000,2000,4,32.596666,-122.82666599999999,083.3 090.0,83.3,-202.87
29447,29448,20-0004JD-MX-108-2319-08330800,2,04/17/2000,2000,4,32.913333,-122.13,083.3 080.0,83.3,-162.93
29448,29449,20-0004JD-MX-109-0507-08330700,2,04/18/2000,2000,4,33.245,-121.44333300000001,083.3 070.0,83.3,-123.08
29449,29450,20-0004JD-MX-109-1056-08330600,2,04/18/2000,2000,4,33.576665999999996,-120.75,083.3 060.0,83.3,-83.06
29450,29451,20-0004JD-MX-109-1500-08330550,2,04/18/2000,2000,4,33.748333,-120.41,083.3 055.0,83.3,-63.2
29451,29452,20-0004JD-PR-109-1854-08330510,2,04/18/2000,2000,4,33.873333,-120.138333,083.3 051.0,83.3,-47.73
29452,29453,20-0004JD-MX-110-0154-08330406,2,04/19/2000,2000,4,34.223333000000004,-119.41,083.3 040.6,83.3,-5.87
29453,29454,20-0004JD-MX-110-0336-08330420,2,04/19/2000,2000,4,34.176666,-119.50833300000001,083.3 042.0,83.3,-11.49
29454,29455,20-0004JD-MX-110-0806-08180469,2,04/19/2000,2000,4,34.283333,-120.02666599999999,081.8 046.9,81.8,-13.68
29455,29456,20-0004JD-MX-110-1246-08000510,2,04/19/2000,2000,4,34.448333,-120.52333300000001,080.0 051.0,80.0,-2.6
29456,29457,20-0004JD-PR-110-1832-08000550,2,04/19/2000,2000,4,34.293333000000004,-120.823333,080.0 055.0,80.0,-20.07
29457,29458,20-0004JD-MX-110-2121-08000600,2,04/19/2000,2000,4,34.148333,-121.15666599999999,080.0 060.0,80.0,-38.75
29458,29459,20-0004JD-MX-111-0310-08000700,2,04/20/2000,2000,4,33.815,-121.84166599999999,080.0 070.0,80.0,-78.26
29459,29460,20-0004JD-MX-111-0905-08000800,2,04/20/2000,2000,4,33.488333000000004,-122.53,080.0 080.0,80.0,-117.84
29460,29461,20-0004JD-PR-111-1808-08000900,2,04/20/2000,2000,4,33.165,-123.218333,080.0 090.0,80.0,-157.42
29461,29462,20-0004JD-MX-111-2325-08001000,2,04/20/2000,2000,4,32.82,-123.905,080.0 100.0,80.0,-197.71
29462,29463,20-0004JD-MX-112-0524-07671000,2,04/21/2000,2000,4,33.39,-124.331666,076.7 100.0,76.7,-209.98
29463,29464,20-0004JD-MX-112-1155-07670900,2,04/21/2000,2000,4,33.718333,-123.635,076.7 090.0,76.7,-169.97
29464,29465,20-0004JD-PR-112-1824-07670800,2,04/21/2000,2000,4,34.053333,-122.948333,076.7 080.0,76.7,-130.3
29465,29466,20-0004JD-MX-113-0147-07670700,2,04/22/2000,2000,4,34.386666,-122.24666599999999,076.7 070.0,76.7,-90.15
29466,29467,20-0004JD-MX-113-0808-07670600,2,04/22/2000,2000,4,34.725,-121.545,076.7 060.0,76.7,-49.98
29467,29468,20-0004JD-MX-113-1223-07670550,2,04/22/2000,2000,4,34.888333,-121.198333,076.7 055.0,76.7,-30.29
29468,29469,20-0004JD-PR-113-1907-07670510,2,04/22/2000,2000,4,35.023333,-120.91666599999999,076.7 051.0,76.7,-14.25
29469,29470,20-0004JD-MX-113-2042-07670490,2,04/22/2000,2000,4,35.09,-120.77666599999999,076.7 049.0,76.7,-6.31
29470,29471,20-0007NM-PR-181-1844-09330267,2,06/29/2000,2000,6,32.946666,-117.305,093.3 026.7,93.3,-1.98
29471,29472,20-0007NM-MX-181-2043-09330280,2,06/29/2000,2000,6,32.908333,-117.403333,093.3 028.0,93.3,-7.39
29472,29473,20-0007NM-MX-181-2336-09330300,2,06/29/2000,2000,6,32.843333,-117.54,093.3 030.0,93.3,-15.27
29473,29474,20-0007NM-MX-182-0322-09330350,2,06/30/2000,2000,6,32.676666,-117.87833300000001,093.3 035.0,93.3,-35.02
29474,29475,20-0007NM-MX-182-0714-09330400,2,06/30/2000,2000,6,32.515,-118.22166599999998,093.3 040.0,93.3,-54.91
29475,29476,20-0007NM-MX-182-1115-09330450,2,06/30/2000,2000,6,32.346666,-118.56333300000001,093.3 045.0,93.3,-74.94
29476,29477,20-0007NM-PR-182-1729-09330500,2,06/30/2000,2000,6,32.19,-118.88,093.3 050.0,93.3,-93.55
29477,29478,20-0007NM-MX-182-2054-09330550,2,06/30/2000,2000,6,32.013333,-119.23666599999999,093.3 055.0,93.3,-114.55
29478,29479,20-0007NM-MX-183-0057-09330600,3,07/01/2000,2000,7,31.845,-119.573333,093.3 060.0,93.3,-134.45
29479,29480,20-0007NM-MX-183-0656-09330700,3,07/01/2000,2000,7,31.511665999999998,-120.245,093.3 070.0,93.3,-174.16
29480,29481,20-0007NM-MX-183-1303-09330800,3,07/01/2000,2000,7,31.181665999999996,-120.92,093.3 080.0,93.3,-214.02
29481,29482,20-0007NM-PR-183-1913-09330900,3,07/01/2000,2000,7,30.853333000000003,-121.588333,093.3 090.0,93.3,-253.64
29482,29483,20-0007NM-MX-184-0117-09331000,3,07/02/2000,2000,7,30.52,-122.26,093.3 100.0,93.3,-293.66
29483,29484,20-0007NM-MX-184-0717-09331100,3,07/02/2000,2000,7,30.183333,-122.92333300000001,093.3 110.0,93.3,-333.53
