,Cst_Cnt,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec,Sta_ID
29367,29368,20-0001NM-MX-015-1041-08670350,1,01/15/2000,2000,1,33.825,-118.63,086.7 035.0
29368,29369,20-0001NM-MX-015-1436-08670400,1,01/15/2000,2000,1,33.66,-118.978333,086.7 040.0
29369,29370,20-0001NM-PR-015-1846-08670450,1,01/15/2000,2000,1,33.495,-119.323333,086.7 045.0
29370,29371,20-0001NM-MX-015-2327-08670500,1,01/15/2000,2000,1,33.323333,-119.663333,086.7 050.0
29371,29372,20-0001NM-MX-016-0314-08670550,1,01/16/2000,2000,1,33.155,-120.01,086.7 055.0
29372,29373,20-0001NM-MX-016-0725-08670600,1,01/16/2000,2000,1,32.99,-120.348333,086.7 060.0
29373,29374,20-0001NM-MX-016-1340-08670700,1,01/16/2000,2000,1,32.661666,-121.03,086.7 070.0
29374,29375,20-0001NM-PR-016-1938-08670800,1,01/16/2000,2000,1,32.335,-121.696666,086.7 080.0
29375,29376,20-0001NM-MX-017-0221-08670900,1,01/17/2000,2000,1,31.988333,-122.395,086.7 090.0
29376,29377,20-0001NM-MX-017-0828-08671000,1,01/17/2000,2000,1,31.661666,-123.071666,086.7 100.0
29377,29378,20-0001NM-PR-017-1824-08671100,1,01/17/2000,2000,1,31.335,-123.743333,086.7 110.0
29378,29379,20-0001NM-MX-017-2350-08331100,1,01/17/2000,2000,1,31.915,-124.166666,083.3 110.0
29379,29380,20-0001NM-MX-018-0513-08331000,1,01/18/2000,2000,1,32.246666,-123.488333,083.3 100.0
29380,29381,20-0001NM-MX-018-1049-08330900,1,01/18/2000,2000,1,32.578333,-122.81,083.3 090.0
29381,29382,20-0001NM-PR-018-1757-08330800,1,01/18/2000,2000,1,32.91,-122.12,083.3 080.0
29382,29383,20-0001NM-MX-018-2251-08330700,1,01/18/2000,2000,1,33.245,-121.443333,083.3 070.0
29383,29384,20-0001NM-MX-019-0433-08330600,1,01/19/2000,2000,1,33.578333,-120.755,083.3 060.0
29384,29385,20-0001NM-MX-019-0831-08330550,1,01/19/2000,2000,1,33.745,-120.413333,083.3 055.0
29385,29386,20-0001NM-MX-019-1207-08330510,1,01/19/2000,2000,1,33.876666,-120.135,083.3 051.0
29386,29387,20-0001NM-PR-019-1823-08330420,1,01/19/2000,2000,1,34.181666,-119.511666,083.3 042.0
29387,29388,20-0001NM-MX-019-2052-08330406,1,01/19/2000,2000,1,34.223333,-119.411666,083.3 040.6
29388,29389,20-0001NM-MX-020-0126-08180469,1,01/20/2000,2000,1,34.273333,-120.026666,081.8 046.9
29389,29390,20-0001NM-MX-020-1313-08000510,1,01/20/2000,2000,1,34.45,-120.525,080.0 051.0
29390,29391,20-0001NM-PR-020-1859-08000550,1,01/20/2000,2000,1,34.333333,-120.813333,080.0 055.0
29391,29392,20-0001NM-MX-020-2200-08000600,1,01/20/2000,2000,1,34.148333,-121.146666,080.0 060.0
29392,29393,20-0001NM-MX-021-0349-08000700,1,01/21/2000,2000,1,33.82,-121.85,080.0 070.0
29393,29394,20-0001NM-MX-021-0940-08000800,1,01/21/2000,2000,1,33.483333,-122.53,080.0 080.0
29394,29395,20-0001NM-PR-021-1808-08000900,1,01/21/2000,2000,1,33.158333,-123.226666,080.0 090.0
29395,29396,20-0001NM-MX-021-2319-08001000,1,01/21/2000,2000,1,32.82,-123.906666,080.0 100.0
29396,29397,20-0001NM-MX-022-0507-07671000,1,01/22/2000,2000,1,33.391666,-124.326666,076.7 100.0
29397,29398,20-0001NM-MX-022-1042-07670900,1,01/22/2000,2000,1,33.725,-123.633333,076.7 090.0
